Name,Award,Year,Region,Average Citation per Article,Citation Count,Publication Count,Publication Years,Available for Download,Average Downloads per Article,Downloads (6 weeks),Downloads (12 months),Downloads (cumulative),Image_URL,Co_Authors,Keywords,Publications
Robin Milner,ACM A. M. Turing Award,1991,Europe,95,"9,201",97,1971 - 2013,19,"1,706",403,"9,237","32,421",/do/10.1145/contrib-81332515695/full/81332515695-1588898507063.jpg,,,"An inductive characterization of matching in binding bigraphs, Bigraphical Categories, Computing Tomorrow: Future Research Directions in Computer Science, Stochastic Bigraphs, Categories, Software and Meaning, Bigraphs and Their Algebra"
A V Sreejith,ACM India Doctoral Dissertation Award,2014,Asia,1,7,7,2010 - 2023,2,45,0,2,90,/pb-assets/icons/DOs/default-profile-1543932446943.svg,,,"Algebraic characterizations and block product decompositions for first order logic and its infinitary quantifier extensions over countable words, First-Order Logic and Its Infinitary Quantifier Extensions over Countable Words, Block products for algebras over countable words and applications to logic, Limited Set quantifiers over Countable Linear Orderings, Non-definability of Languages by Generalized First-order Formulas over (N,+), Expressive Completeness for LTL With Modulo Counting and Group Quantifiers"
Alan J. Perils,ACM A. M. Turing Award,1966,North America,38,"1,821",48,1954 - 2007,46,734,786,"5,158","33,779",/do/10.1145/contrib-81100086771/full/81100086771-1588680123313.jpg,,,"The synthesis of algorithmic systems, Revised report on the algorithmic language ALGOL 60, FAC: A Functional APL Language, Another view of software (panel session), Special Feature: Epigrams on programming, Is APL a programming language or isn't it?"
Audrey J Turner,Outstanding Contribution to ACM Award,1995,North America,1,1,1,1995 - 1995,0,0,0,0,0,/pb-assets/icons/DOs/default-profile-1543932446943.svg,,,README.1st: SGML for writers and editors
Alexei A. Efros,ACM Prize in Computing,2016,Europe,94,"9,199",98,1999 - 2024,32,"3,691",666,"9,369","118,112",/do/10.1145/contrib-81100604913/full/81100604913-1569829454860.jpg,,,"MarioNette: self-supervised sprite learning, Diffusion self-guidance for controllable image generation, Differentiable blocks world: qualitative 3D decomposition by rendering primitives, Test-time training with masked autoencoders, Visual prompting via image inpainting, Scene completion using millions of photographs"
Aaron Sidford,ACM Doctoral Dissertation Award,2015,North America,13,839,64,2013 - 2024,42,229,397,"2,138","9,616",/do/10.1145/contrib-81758701057/full/81758701057-1703038152690.jpg,,,"Efficient Convex Optimization Requires Superlinear Memory, Sparsifying Generalized Linear Models, Near-Optimal Dynamic Rounding of Fractional Matchings in Bipartite Graphs, Stochastic bias-reduced gradient methods, Parallel submodular function minimization, Towards optimal effective resistance estimation"
