name,award,year,region,dl_profile,double_underscore_content
"Spielman, Daniel A",ACM Doctoral Dissertation Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100023777,
"Bobrow, Daniel",ACM Programming Systems and Languages Paper Award,1974,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100435652,
"Bobrow, Daniel",ACM Software System Award,1992,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100435652,
"Ingalls, Daniel H.H.",ACM Grace Murray Hopper Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100449281,
"Ingalls, Daniel H.H.",ACM Software System Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100449281,
"Quest, Daniel J",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81498648993,
"Jacobson, Daniel",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Killebrew, Daniel",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Klein, Daniel",ACM Grace Murray Hopper Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100142014,
"Mathew, Daniel",ACM/CSTA Cutler-Bell Prize in High School Computing,2023,North America,https://dl.acm.orgN/A,
"Nichols, Daniel",ACM-IEEE CS George Michael Memorial HPC Fellowships,2024,North America,https://dl.acm.orgN/A,
"Ramot, Daniel",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Bricklin, Daniel S",ACM Grace Murray Hopper Award,1981,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100490826,
"Bricklin, Daniel S",ACM Software System Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100490826,
"Siewiorek, Daniel",ACM-IEEE CS Eckert-Mauchly Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452606879,
"Sleator, Daniel",ACM Paris Kanellakis Theory and Practice Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100459059,
"Scarpazza, Daniele Paolo",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Perez-Rivera, Danilo",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Wu, Danqing",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Koller, Daphne",ACM Prize in Computing,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100246010,
"Koller, Daphne",ACM AAAI Allen Newell Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100246010,
"Thomson, Dave",ACM Software System Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81416601359,
"Abramson, David A",ACM-IEEE CS Ken Kennedy Award,2021,Pacific Rim,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81405595579,
"Nichols, David A",ACM Software System Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100204726,
"Cock, David Alan",ACM Software System Award,2022,Europe,https://dl.acm.orgN/A,
"Bader, David",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Bailey, David",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100616365,
"Blei, David",ACM AAAI Allen Newell Award,2023,North America,https://dl.acm.orgN/A,
"Papworth, David Bruce","ACM Charles P. ""Chuck"" Thacker Breakthrough in Computing Award",2022,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100335184,
"DeWitt, David",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100113216,
"Dill, David",ACM Doctoral Dissertation Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100342748,
"Shaw, David E.",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100396763,
"Shaw, David E.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100396763,
"Richards, David F",ACM Gordon Bell Prize,2007,North America,https://dl.acm.orgN/A,
"Brandin, David H",ACM Distinguished Service Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100394686,
"Harel, David",ACM Karl V. Karlstrom Outstanding Educator Award,1992,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100197485,
"Harel, David",ACM Software System Award,2007,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100197485,
"Haussler, David",ACM AAAI Allen Newell Award,2003,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100637713,
"Heckerman, David",ACM Doctoral Dissertation Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100257836,
"Hardy, David J",ACM Gordon Bell Prize,2020,North America,https://dl.acm.orgN/A,
"Kuck, David J",ACM-IEEE CS Eckert-Mauchly Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406594662,
"Kuck, David J",ACM-IEEE CS Ken Kennedy Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406594662,
"Gries, David Joseph",ACM Programming Systems and Languages Paper Award,1977,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81407593474,
"Gries, David Joseph",ACM Karl V. Karlstrom Outstanding Educator Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81407593474,
"Kainer, David",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Karger, David",ACM Doctoral Dissertation Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100337812,
"Parnas, David Lorge",ACM Programming Systems and Languages Paper Award,1979,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100311845,
"Ungar, David M",ACM Doctoral Dissertation Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100365263,
"Blei, David M.",ACM Prize in Computing,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100028344,
"Blei, David M.",ACM AAAI Allen Newell Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100028344,
"Maltz, David",ACM Software System Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100525655,
"Padua, David",ACM-IEEE CS Ken Kennedy Award,2024,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452612804,
"Patterson, David",ACM Karl V. Karlstrom Outstanding Educator Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100565162,
"Patterson, David",ACM Distinguished Service Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100565162,
"Patterson, David",ACM-IEEE CS Eckert-Mauchly Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100565162,
"Patterson, David",ACM A. M. Turing Award,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100565162,
"Robinson, David",ACM Software System Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81490650154,
"Rogers, David",ACM Gordon Bell Prize,2023,North America,https://dl.acm.orgN/A,
"Wise, David S",Outstanding Contribution to ACM Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100462823,
"Silver, David",ACM Prize in Computing,2019,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100336678,
"Steurer, David",ACM Doctoral Dissertation Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100245277,
"Wagner, David",ACM Doctoral Dissertation Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406593711,
"Engler, Dawson",ACM Grace Murray Hopper Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100222430,
"Estrin, Deborah",ACM Athena Lecturer Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100020429,
"Weighill, Deborah",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Data, Deepesh",ACM India Doctoral Dissertation Award,2019,Asia,https://dl.acm.orgN/A,
"Yadav, Deepika",ACM India Doctoral Dissertation Award,2022,Asia,https://dl.acm.orgN/A,
"Lu, Denghui",ACM Gordon Bell Prize,2020,Asia,https://dl.acm.orgN/A,
"Zorin, Denis",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100328351,
"Ritchie, Dennis M.",ACM Programming Systems and Languages Paper Award,1975,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100458439,
"Ritchie, Dennis M.",ACM A. M. Turing Award,1983,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100458439,
"Ritchie, Dennis M.",ACM Software System Award,1983,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100458439,
"Hoiem, Derek",ACM Doctoral Dissertation Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100204007,
"Malhotra, Dhairya",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474696158,
"Malhotra, Dhairya",ACM-IEEE CS George Michael Memorial HPC Fellowships,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474696158,
"Elkaduwe, Dhammika",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orgN/A,
"Modha, Dharmendra",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100503072,
"Lin, Diangen",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Rossinelli, Diego",ACM Gordon Bell Prize,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81365598217,
"van Melkebeek, Dieter",ACM Doctoral Dissertation Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339533621,
"Tsipras, Dimitris",ACM Doctoral Dissertation Award,2021,North America,https://dl.acm.orgN/A,
"Fedosov, Dimitry",ACM Gordon Bell Prize,2011,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81350583013,
"Katabi, Dina",ACM Doctoral Dissertation Award,2003,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100360141,
"Katabi, Dina",ACM Grace Murray Hopper Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100360141,
"Katabi, Dina",ACM Prize in Computing,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100360141,
"Maxwell, Don E.",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orgN/A,
"Gotterbarn, Don",Outstanding Contribution to ACM Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406594705,
"Gotterbarn, Don",ACM Presidential Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406594705,
"Chamberlin, Donald",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100180770,
"Knuth, Donald E",ACM Grace Murray Hopper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100246710,
"Knuth, Donald E",ACM A. M. Turing Award,1974,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100246710,
"Knuth, Donald E",ACM Software System Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100246710,
"Nicholson, Donald M.",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orgN/A,
"Chen, Dong",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orgN/A,
"Cappo, Donna",Outstanding Contribution to ACM Award,2013,North America,https://dl.acm.orgN/A,
"Schneider, Donovan A",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100155642,
"Lidtke, Doris",ACM Distinguished Service Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100350859,
"Cook, Douglas",ACM Doctoral Dissertation Award,1980,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100111819,
"Engelbart, Douglas",ACM Software System Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100342853,
"Engelbart, Douglas",ACM A. M. Turing Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100342853,
"Ierardi, Douglas J",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Brotz, Douglas K",ACM Software System Award,1989,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100122598,
"Mason, Douglas",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America,https://dl.acm.orgN/A,
"Deshpande, Anand S",ACM Presidential Award,2024,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100017241,
"Fox, Armando",ACM Karl V. Karlstrom Outstanding Educator Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100498790,
"Slutz, Donald R",ACM Programming Systems and Languages Paper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100591673,
"D'Azevedo, Eduardo Francisco",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81410594701,
"Dasgupta, Gargi Banerjee",ACM India Outstanding Contributions in Computing by a Woman Award,2021,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81351593679,
"Engelhardt, Kai",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orgN/A,
"Hoemmen, Mark",ACM-IEEE CS George Michael Memorial HPC Fellowships,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81447603995,
"Gulur, Nagendra",ACM India Doctoral Dissertation Award,2017,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81496687995,
"Neumann, Peter G",Outstanding Contribution to ACM Award,1992,North America,https://dl.acm.orgN/A,
"Motamarri, Phani",ACM Gordon Bell Prize,2023,Asia,https://dl.acm.orgN/A,
"Indyk, Piotr",ACM Paris Kanellakis Theory and Practice Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100484622,
"Veerapaneni, Shravan",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81350570919,
"Bhatele, Abhinav",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81351593643,
"Lempel, Abraham",ACM Paris Kanellakis Theory and Practice Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100607204,
"Curioni, Alessandro",ACM Gordon Bell Prize,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100141710,
"Curioni, Alessandro",ACM Gordon Bell Prize,2015,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100141710,
"Spector, Alfred Z",ACM Software System Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100520579,
"Hazra, Aritra",ACM India Doctoral Dissertation Award,2015,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81375598170,
"Huebl, Axel",ACM-IEEE CS George Michael Memorial HPC Fellowships,2016,Europe,https://dl.acm.orgN/A,
"Simons, Barbara B",Outstanding Contribution to ACM Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100600147,
"Simons, Barbara B",ACM Policy Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100600147,
"Ryder, Barbara Gershon",ACM Presidential Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100632248,
"Ericson, Barbara Jane",ACM Karl V. Karlstrom Outstanding Educator Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100073230,
"Miller, Bradley N",ACM Software System Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100160985,
"Waters, Brent",ACM Grace Murray Hopper Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81319503857,
"Brodley, Carla",ACM Frances E. Allen Award for Outstanding Mentoring,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100347793,
"Geschke, Charles M",ACM Software System Award,1989,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100125322,
"Ierardi, Douglas John",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100022058,
"Horvitz, Eric",ACM AAAI Allen Newell Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100323543,
"Strohmaier, Erich",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100613181,
"Draeger, Erik Walter",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81309493285,
"Engel, Gerald L",ACM Distinguished Service Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81337489362,
"Klimeck, Gerhard",ACM Gordon Bell Prize,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100545932,
"Li, Hang",CCF-ACM Award for Artificial Intelligence,2023,Asia,https://dl.acm.orgN/A,
"Hsiao, Hui-I",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100402839,
"Oden, J. Tinsley",SIAM/ACM Prize in Computational Science and Engineering,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100616281,
"Dongarra, Jack",ACM-IEEE CS Ken Kennedy Award,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100368092,
"Dongarra, Jack",SIAM/ACM Prize in Computational Science and Engineering,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100368092,
"Dongarra, Jack",ACM A. M. Turing Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100368092,
"Ziv, Jacob",ACM Paris Kanellakis Theory and Practice Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81502737841,
"White, John R.",Outstanding Contribution to ACM Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332535215,
"White, John R.",ACM Presidential Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332535215,
"Little, Joyce Currie",ACM Distinguished Service Award,1992,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100061475,
"Meza, Juan C",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81410591793,
"Onishi, Keiji",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Ozsu, M. Tamer",ACM Presidential Award,2024,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81384595752,
"Balcan, Maria-Florina",ACM Grace Murray Hopper Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81300252501,
"Guzdial, Mark",ACM Karl V. Karlstrom Outstanding Educator Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100467156,
"Johnson, Mark Scott",Outstanding Contribution to ACM Award,2003,North America,https://dl.acm.orgN/A,
"Blasgen, Michael W",ACM Programming Systems and Languages Paper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100478040,
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100194750,
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100194750,
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100194750,
"Bale, Rahul",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Burton, Richard R.",ACM Software System Award,1992,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406592075,
"Walker, Robert A.",Outstanding Contribution to ACM Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100423956,
"Aaronson, Scott J",ACM Prize in Computing,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81447593447,
"Patel, Shwetak N",ACM Prize in Computing,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100490064,
"Misra, Sudip",ACM India Outstanding Contribution to Computing Education Award,2023,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81479647862,
"Rodger, Susan",ACM Karl V. Karlstrom Outstanding Educator Award,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100464893,
"Endo, Toshio",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100229688,
"Bahl, Victor",ACM Distinguished Service Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100029074,
"Sugiura, Yuta",IPSJ/ACM Award for Early Career Contributions to Global Research,2022,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81442608773,
"Zhao, Zhengji",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81421593396,
"Emerson, E. Allen",ACM Paris Kanellakis Theory and Practice Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452614401,
"Emerson, E. Allen",ACM A. M. Turing Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452614401,
"Coffman, Ed",Outstanding Contribution to ACM Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452615947,
"Coffman, Ed",ACM Distinguished Service Award,2004,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452615947,
"Codd, Edgar F",ACM A. M. Turing Award,1981,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100425534,
"Solomonik, Edgar",ACM-IEEE CS George Michael Memorial HPC Fellowships,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81474703102,
"Chow, Edmond",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100328023,
"Clarke, Edmund",ACM Paris Kanellakis Theory and Practice Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100393517,
"Clarke, Edmund",ACM A. M. Turing Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100393517,
"Bugnion, Edouard",ACM Software System Award,2009,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100113338,
"Dijkstra, Edsger W",ACM Programming Systems and Languages Paper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100248871,
"Dijkstra, Edsger W",ACM A. M. Turing Award,1972,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100248871,
"Feigenbaum, Edward A",ACM A. M. Turing Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100346299,
"Taft, Edward A.",ACM Software System Award,1989,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100480307,
"Davidson, Edward",ACM-IEEE CS Eckert-Mauchly Award,2000,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81413591796,
"Shortliffe, Edward H",ACM Grace Murray Hopper Award,1976,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100326249,
"Lazowska, Edward",ACM Presidential Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100234290,
"Lazowska, Edward",ACM Distinguished Service Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100234290,
"Catmull, Edwin",ACM A. M. Turing Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100160637,
"Weyuker, Elaine",ACM Presidential Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100093250,
"Upfal, Eli",ACM Paris Kanellakis Theory and Practice Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339533412,
"Bertino, Elisa",ACM Athena Lecturer Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81409594658,
"Hu, Elizabeth",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America,https://dl.acm.orgN/A,
"Hildreth, Ellen",ACM Doctoral Dissertation Award,1983,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100294007,
"Wang, Ellen",ACM Software System Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332534159,
"Yuan, Emily",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America,https://dl.acm.orgN/A,
"Witchel, Emmett",ACM Doctoral Dissertation Award,2004,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100230582,
"Witchel, Emmett",ACM Doctoral Dissertation Award,2004,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100230582,
"Brewer, Eric A A.",ACM Prize in Computing,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100357712,
"Weiss, Eric A.",ACM Distinguished Service Award,1978,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100501964,
"Bina, Eric",ACM Software System Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100578120,
"Roberts, Eric S",ACM Karl V. Karlstrom Outstanding Educator Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81325489795,
"Gamma, Erich",ACM Software System Award,2011,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100094240,
"Altman, Erik R",ACM Distinguished Service Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100139431,
"Siva, Ernest",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2005,North America,https://dl.acm.orgN/A,
"Saxena, Eshika",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America,https://dl.acm.orgN/A,
"Spafford, Eugene H.",ACM Presidential Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452614755,
"Myers, Eugene",ACM Paris Kanellakis Theory and Practice Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406593964,
"Wong, Eugene",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100189239,
"Tardos, Eva",ACM Athena Lecturer Award,2022,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100610119,
"Cheng, Evan",ACM Software System Award,2012,North America,https://dl.acm.orgN/A,
"Phillips, Everett Houston",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Gagliardi, Fabrizio",ACM Presidential Award,2013,Europe,https://dl.acm.orgN/A,
"Gagliardi, Fabrizio",ACM Presidential Award,2018,Europe,https://dl.acm.orgN/A,
"Liu, Fangfang",ACM Gordon Bell Prize,2016,Asia,https://dl.acm.orgN/A,
"Hsu, Feng-hsiung",ACM Grace Murray Hopper Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100320779,
