Index,Full Name,Year,Location,Citation,Profile URL,GSC URL,Affiliation,Interests
1,A J Milner,1991,United Kingdom,"For three distinct and complete achievements: LCF, the mechanization of Scott's Logic of Computable Functions, probably the first theoretically based yet practical tool for machine assisted proof construction;ML, the first language to include polymorphic type inference together with a type-safe exception-handling mechanism;CCS, a general theory of concurrency.In addition, he formulated and strongly advanced full abstraction, the study of the relationship between operational and denotational semantics.",https://awards.acm.org/award-recipients/milner_1569367,https://scholar.google.com/citations?user=1bezk50AAAAJ,Harvard University / Franciscan Children's,
2,A. J. Perlis,1966,USA,For his influence in the area of advanced programming techniques and compiler construction.,https://awards.acm.org/award-recipients/perlis_0132439,https://scholar.google.com/citations?user=CTXoO1AAAAAJ,"AJ Perlis University Professor of Computer Science, Carnegie Mellon Univeristy","Software Engineering, Software Architecture, Software Design, Self-Adaptive Systems"
